startingAirport,destinationAirport,min(totalFare)
LAX,DFW,93.6
LAX,MIA,147.6
LAX,JFK,103.6
LAX,DEN,48.6
LAX,SFO,38.61
LAX,ATL,140.6
LAX,IAD,96.6
LAX,BOS,121.6
LAX,EWR,121.6
LAX,DTW,268.6
LAX,ORD,63.6
LAX,PHL,166.61
LGA,DFW,89.6
LGA,DTW,92.6
LGA,CLT,102.6
LGA,MIA,48.6
LGA,ORD,75.6
LGA,DEN,77.6
LGA,ATL,53.6
LGA,BOS,43.6
LGA,PHL,59.6
LGA,IAD,90.6
MIA,DTW,88.6
MIA,EWR,38.61
MIA,ATL,88.6
MIA,JFK,48.6
MIA,BOS,58.6
MIA,ORD,40.6
MIA,SFO,123.61
MIA,LAX,98.6
MIA,IAD,98.6
MIA,CLT,111.6
MIA,LGA,48.6
MIA,DEN,68.6
MIA,DFW,128.6
OAK,DTW,278.6
