startingAirport,destinationAirport,isNonStop,Avg_Price
ATL,BOS,false,270.16
ATL,BOS,true,292.75
ATL,CLT,false,362.76
ATL,CLT,true,243.38
ATL,DEN,false,316.41
ATL,DEN,true,289.7
ATL,DFW,false,256.21
ATL,DFW,true,216.55
ATL,DTW,true,238.07
ATL,DTW,false,309.96
ATL,EWR,false,208.38
ATL,EWR,true,213.54
ATL,IAD,false,293.73
ATL,IAD,true,191.48
ATL,JFK,false,356.2
ATL,JFK,true,204.29
ATL,LAX,true,407.12
ATL,LAX,false,359.23
ATL,LGA,true,202.91
ATL,LGA,false,197.62
ATL,MIA,false,311.14
ATL,MIA,true,176.69
ATL,OAK,false,536.08
ATL,ORD,true,229.02
ATL,ORD,false,231.48
ATL,PHL,true,211.1
ATL,PHL,false,260.23
ATL,SFO,true,442.92
ATL,SFO,false,458.24
BOS,ATL,true,290.01
BOS,ATL,false,274.51
BOS,CLT,true,221.53
BOS,CLT,false,235.95
BOS,DEN,false,341.27
BOS,DEN,true,343.64
BOS,DFW,false,296.45
BOS,DFW,true,324.53
BOS,DTW,false,246.64
BOS,DTW,true,232.52
BOS,EWR,false,251.64
BOS,EWR,true,128.6
BOS,IAD,false,315.18
BOS,IAD,true,141.52
BOS,JFK,false,413.33
BOS,JFK,true,155.74
BOS,LAX,false,380.01
BOS,LAX,true,437.01
BOS,LGA,false,205.07
BOS,LGA,true,109.15
BOS,MIA,true,194.58
BOS,MIA,false,211.29
BOS,OAK,false,618.3
BOS,ORD,false,183.57
BOS,ORD,true,213.58
BOS,PHL,true,130.48
BOS,PHL,false,275.79
BOS,SFO,false,426.55
BOS,SFO,true,423.83
CLT,ATL,true,244.36
CLT,ATL,false,357.65
CLT,BOS,true,223.64
CLT,BOS,false,250.97
CLT,DEN,false,359.91
CLT,DEN,true,344.72
CLT,DFW,false,321.54
CLT,DFW,true,314.3
CLT,DTW,true,269.22
CLT,DTW,false,303.52
CLT,EWR,true,218.06
CLT,EWR,false,265.27
CLT,IAD,true,172.46
CLT,IAD,false,228.95
CLT,JFK,true,216.62
CLT,JFK,false,292.79
CLT,LAX,false,428.71
CLT,LAX,true,431.62
CLT,LGA,true,206.65
CLT,LGA,false,199.49
CLT,MIA,false,279.46
CLT,MIA,true,309.05
CLT,OAK,false,622.34
CLT,ORD,true,259.65
CLT,ORD,false,287.16
CLT,PHL,false,289.13
CLT,PHL,true,251.5
CLT,SFO,true,522.31
CLT,SFO,false,506.13
DEN,ATL,true,297.34
DEN,ATL,false,324.44
DEN,BOS,false,343.76
DEN,BOS,true,384.8
DEN,CLT,false,351.4
DEN,CLT,true,363.11
DEN,DFW,false,256.69
DEN,DFW,true,189.91
DEN,DTW,false,349.28
DEN,DTW,true,300.91
DEN,EWR,true,326.63
DEN,EWR,false,343.67
DEN,IAD,true,337.44
DEN,IAD,false,371.38
DEN,JFK,true,244.7
DEN,JFK,false,530.44
DEN,LAX,true,185.55
DEN,LAX,false,262.08
DEN,LGA,false,274.27
DEN,LGA,true,261.68
DEN,MIA,true,231.49
DEN,MIA,false,372.96
DEN,OAK,false,380.61
DEN,OAK,true,104.4
