Airline,Hour,avgSeats
Alaska Airlines,07,5
Alaska Airlines,11,6
Alaska Airlines,16,3
Alaska Airlines,19,4
American Airlines,05,5
American Airlines,06,5
American Airlines,07,5
American Airlines,08,5
American Airlines,09,6
American Airlines,10,5
American Airlines,11,5
American Airlines,12,4
American Airlines,13,5
American Airlines,14,5
American Airlines,15,5
American Airlines,16,5
American Airlines,17,5
American Airlines,18,5
American Airlines,19,5
American Airlines,20,6
American Airlines,21,5
Delta,05,9
Delta,06,8
